,CTY_NM_2,USE_CUS_CNT,2008,clean,img
0,강남구,9062.016393,83,0.990840891,seoul/gangnam.png
1,강동구,1854.824561,93,0.949860487,seoul/gangdong.png
2,강북구,958.6607142999999,82,0.914464003,seoul/gangbuk.png
3,강서구,3061.436364,111,0.963742509,seoul/gangseo.png
4,관악구,2158.534483,107,0.95042933,seoul/gwanak.png
5,광진구,1895.75,72,0.962020309,seoul/gwangjin.png
6,구로구,1647.491525,59,0.96418798,seoul/guro.png
7,금천구,1142.8103449999999,36,0.96849871,seoul/gumchun.png
8,노원구,1599.175439,173,0.8918192490000001,seoul/nowon.png
9,도봉구,2411.345455,70,0.970970563,seoul/dobong.png
10,동대문구,1302.728814,36,0.972365699,seoul/dongdaemun.png
11,동작구,3646.696429,103,0.971755258,seoul/dongjak.png
12,서대문구,1340.363636,51,0.9619506240000001,seoul/seodaemun.png
13,서초구,3840.45,75,0.9804710390000001,seoul/seocho.png
14,성동구,1597.916667,33,0.97934811,seoul/sungdong.png
15,성북구,1277.0714289999999,238,0.813636109,seoul/sungbuk.png
16,송파구,3474.65,160,0.953952197,seoul/songpa.png
17,양천구,1586.0,78,0.9508196720000001,seoul/yangcheon.png
18,영등포구,7195.233333,68,0.9905492990000001,seoul/youngdeongpo.png
19,용산구,1629.864407,46,0.971776793,seoul/yongsan.png
20,은평구,1560.666667,120,0.923109782,seoul/eunpyeong.png
21,종로구,3572.583333,38,0.989363439,seoul/jongro.png
22,중구(서울),10004.21667,31,0.996901307,seoul/junggu.png
23,중랑구,1349.625,100,0.925905344,seoul/jungrang.png
24,마포구,3277.5833333333335,76,0.9768121837736137,seoul/mapo.png
