,CTY_NM_2,2001,2002,2003,2004,2005,2006,2007,2008
0,강남구,0,7,34,23,11,8,15,83
1,중구(서울),0,0,5,1,3,3,8,31
2,서초구,0,4,21,13,4,15,7,75
3,송파구,0,12,15,10,11,7,44,160
4,영등포구,0,2,18,5,11,29,7,68
5,종로구,3,8,4,1,3,3,6,38
6,강서구,1,1,20,4,19,33,25,111
7,구로구,0,1,33,1,6,45,5,59
8,강동구,0,4,6,3,11,11,14,93
9,동대문구,0,1,25,5,3,4,6,36
10,관악구,0,4,30,9,16,58,27,107
11,노원구,0,8,12,3,8,12,6,173
12,양천구,0,1,17,3,6,43,1,78
13,용산구,0,0,12,6,20,12,4,46
14,광진구,0,1,5,2,6,3,5,72
15,은평구,0,7,14,7,7,18,11,120
16,성북구,1,1,13,9,5,4,9,238
17,성동구,0,3,3,13,21,9,8,33
18,중랑구,1,0,12,3,3,14,11,100
19,금천구,0,1,11,0,3,17,7,36
20,동작구,0,1,23,7,9,13,17,103
21,서대문구,0,4,9,6,8,8,6,51
22,강북구,0,0,5,0,9,10,4,82
23,도봉구,0,0,6,3,10,43,2,70
24,마포구,1,0,16,7,3,12,13,76
