,CTY_NM_1,CTY_NM_2,CTY_NM_3,MCT_RY_NM,avg_rate,WEB
0,경기,수원시,권선구,"'안경,콘텍트렌즈'",-0.029213299999999998,"안경,콘텍트렌즈"
1,경기,수원시,권선구,가전,-0.14202521099999998,가전
2,경기,수원시,권선구,관광,-0.387404277,여행사
3,경기,수원시,권선구,"기계,장비",-0.014862725,.
4,경기,수원시,권선구,대중교통,-0.346502738,지하철역
5,경기,수원시,권선구,도서 및 음반,-0.09616614400000001,서점
6,경기,수원시,권선구,상품권,-0.192958465,상품권
7,경기,수원시,권선구,소프트웨어,-0.442258514,소프트웨어
8,경기,수원시,권선구,원자재,-0.13874467099999999,.
9,경기,수원시,권선구,인테리어,-0.21608297,인테리어
10,경기,수원시,권선구,차량부품,-0.027568507000000003,차량부품
11,경기,수원시,권선구,통신,-0.47053075899999997,통신
12,경기,수원시,권선구,학업,-0.106870181,독서실
13,경기,수원시,권선구,학업,-0.106870181,학습지
14,경기,수원시,권선구,학업,-0.106870181,학원
15,경기,수원시,영통구,Beauty,-0.05808790900000001,뷰티
16,경기,수원시,영통구,가전,-0.21012545300000002,가전
17,경기,수원시,영통구,건강제품,0.028479651,건강제품
18,경기,수원시,영통구,관광,-0.44044971200000005,여행사
19,경기,수원시,영통구,백화점,-0.279591837,백화점
20,경기,수원시,영통구,비대면영업,-0.033797662,.
21,경기,수원시,영통구,상품권,-0.182472243,상품권
22,경기,수원시,영통구,숙박업,-0.045321917,숙박
23,경기,수원시,영통구,실외여가,-0.17959496600000002,레저스포츠
24,경기,수원시,영통구,실외여가,-0.17959496600000002,스키장
25,경기,수원시,영통구,실외여가,-0.17959496600000002,놀이동산
26,경기,수원시,영통구,실외여가,-0.17959496600000002,테니스장
27,경기,수원시,영통구,차량부품,-0.19242128600000002,차량부품
28,경기,수원시,영통구,학업,-0.13270767,독서실
29,경기,수원시,영통구,학업,-0.13270767,학습지
30,경기,수원시,영통구,학업,-0.13270767,학원
31,경기,수원시,장안구,"'안경,콘텍트렌즈'",-0.10459690699999999,"안경,콘텍트렌즈"
32,경기,수원시,장안구,가전,-0.153260279,가전
33,경기,수원시,장안구,렌트카,-0.166765797,렌트카
34,경기,수원시,장안구,사치품,-0.148843425,잡화
35,경기,수원시,장안구,상품권,-0.228418328,상품권
36,경기,수원시,장안구,소프트웨어,-0.09319099199999999,소프트웨어
37,경기,수원시,장안구,실외여가,-0.256440971,레저스포츠
38,경기,수원시,장안구,실외여가,-0.256440971,스키장
39,경기,수원시,장안구,실외여가,-0.256440971,놀이동산
40,경기,수원시,장안구,실외여가,-0.256440971,테니스장
41,경기,수원시,장안구,악기,-0.064268239,악기
42,경기,수원시,장안구,예식업,-0.097382346,예식업
43,경기,수원시,장안구,유통업,-0.051765133,.
44,경기,수원시,장안구,차량부품,-0.14539497099999998,차량부품
45,경기,수원시,장안구,학업,-0.13584502699999998,독서실
46,경기,수원시,장안구,학업,-0.13584502699999998,학습지
47,경기,수원시,장안구,학업,-0.13584502699999998,학원
48,경기,수원시,팔달구,"'안경,콘텍트렌즈'",-0.111554125,"안경,콘텍트렌즈"
49,경기,수원시,팔달구,Beauty,-0.07339557,뷰티
50,경기,수원시,팔달구,가전,-0.101376196,가전
51,경기,수원시,팔달구,관광,-0.302966743,여행사
52,경기,수원시,팔달구,대중교통,-0.408163265,지하철역
53,경기,수원시,팔달구,부동산,-0.23765842199999998,부동산
54,경기,수원시,팔달구,사치품,-0.101988559,잡화
55,경기,수원시,팔달구,상품권,-0.230155485,상품권
56,경기,수원시,팔달구,숙박업,-0.229217862,숙박
57,경기,수원시,팔달구,원자재,-0.190795827,.
58,경기,수원시,팔달구,차량부품,-0.05434021,차량부품
59,경기,수원시,팔달구,차량판매,-0.448245787,차량판매
60,경기,수원시,팔달구,학업,-0.147631069,독서실
61,경기,수원시,팔달구,학업,-0.147631069,학습지
62,경기,수원시,팔달구,학업,-0.147631069,학원
63,대구,남구(대구),.,"'안경,콘텍트렌즈'",-0.094958264,"안경,콘텍트렌즈"
64,대구,남구(대구),.,건강제품,-0.132326359,건강제품
65,대구,남구(대구),.,기타 서비스업,-0.084992736,이벤트
66,대구,남구(대구),.,도서 및 음반,-0.061600069,서점
67,대구,남구(대구),.,렌트카,-0.17048650899999998,렌트카
68,대구,남구(대구),.,부동산,-0.24501356,부동산
69,대구,남구(대구),.,사치품,-0.14909915699999998,잡화
70,대구,남구(대구),.,상품권,-0.207116789,상품권
71,대구,남구(대구),.,실외여가,-0.34958670399999997,레저스포츠
72,대구,남구(대구),.,실외여가,-0.34958670399999997,스키장
73,대구,남구(대구),.,실외여가,-0.34958670399999997,놀이동산
74,대구,남구(대구),.,실외여가,-0.34958670399999997,테니스장
75,대구,남구(대구),.,예식업,-0.17015223899999998,예식업
76,대구,남구(대구),.,전문서비스,-0.108027669,.
77,대구,남구(대구),.,학업,-0.177565042,독서실
78,대구,남구(대구),.,학업,-0.177565042,학습지
79,대구,남구(대구),.,학업,-0.177565042,학원
80,대구,달서구,.,"'안경,콘텍트렌즈'",-0.001487101,"안경,콘텍트렌즈"
81,대구,달서구,.,Beauty,-0.024882521,뷰티
82,대구,달서구,.,가전,-0.24728491,가전
83,대구,달서구,.,교통운영업,0.002312639,주차장
84,대구,달서구,.,교통운영업,0.002312639,주유소
85,대구,달서구,.,교통운영업,0.002312639,자동차정비
86,대구,달서구,.,교통운영업,0.002312639,세차장
87,대구,달서구,.,백화점,-0.020407365,백화점
88,대구,달서구,.,보험,-0.07055367900000001,보험
89,대구,달서구,.,부동산,-0.387696338,부동산
90,대구,달서구,.,상품권,-0.045345217,상품권
91,대구,달서구,.,실외여가,-0.04312744,레저스포츠
92,대구,달서구,.,실외여가,-0.04312744,스키장
93,대구,달서구,.,실외여가,-0.04312744,놀이동산
94,대구,달서구,.,실외여가,-0.04312744,테니스장
95,대구,달서구,.,악기,-0.007611641,악기
96,대구,달서구,.,유통업,-0.083065337,.
97,대구,달서구,.,인테리어,-0.14041567800000002,인테리어
98,대구,달서구,.,학업,-0.140707134,독서실
99,대구,달서구,.,학업,-0.140707134,학습지
100,대구,달서구,.,학업,-0.140707134,학원
101,대구,달성군,.,가전,-0.069203907,가전
102,대구,달성군,.,관광,-0.489780261,여행사
103,대구,달성군,.,"기계,장비",-0.367346939,.
104,대구,달성군,.,대중교통,-0.081632653,지하철역
105,대구,달성군,.,부동산,-0.10204081599999999,부동산
106,대구,달성군,.,사치품,-0.18424364399999998,잡화
107,대구,달성군,.,숙박업,-0.056078872,숙박
108,대구,달성군,.,실외여가,-0.245592547,레저스포츠
109,대구,달성군,.,실외여가,-0.245592547,스키장
110,대구,달성군,.,실외여가,-0.245592547,놀이동산
111,대구,달성군,.,실외여가,-0.245592547,테니스장
112,대구,달성군,.,예식업,-0.162884025,예식업
113,대구,달성군,.,원자재,-0.051020407999999996,.
114,대구,달성군,.,유통업,-0.024067564,.
115,대구,달성군,.,인테리어,-0.10588765800000001,인테리어
116,대구,달성군,.,학업,-0.08541062,독서실
117,대구,달성군,.,학업,-0.08541062,학습지
118,대구,달성군,.,학업,-0.08541062,학원
119,대구,동구(대구),.,"'안경,콘텍트렌즈'",-0.037133474,"안경,콘텍트렌즈"
120,대구,동구(대구),.,가전,-0.13620738,가전
121,대구,동구(대구),.,관광,-0.098832374,여행사
122,대구,동구(대구),.,비대면영업,-0.052857260999999996,.
